52600683,7498894,$180.95
52600684,5136349,$55.70
52600685,9970765,$128.95
52600686,8106323,$30.95
52600687,1818463,$124.20
52600688,5155283,$193.20
52600689,2921887,$148.70
52600690,9076165,$120.95
52600691,2222019,$79.70
52600692,9971126,$6.95
52600693,2398576,$13.20
52600696,4957232,$32.95
52600695,136129,$247.45
52600694,7971394,$40.70
52600697,3511370,$233.45
52600698,6968610,$219.70
52600699,3823142,$14.20
52600703,6508376,$31.20
52600705,8770070,$18.70
52600702,9970765,$81.20
52600700,7146861,$169.45
52600708,7491800,$58.95
52600701,651392,$135.70
52600706,9657711,$28.45
52600707,1925345,$169.70
52600704,3534246,$220.45
52600709,7491800,$64.20
52600710,4225845,$230.20
52600711,41146,$171.45
52600712,9657711,$236.20
52600716,7056631,$159.20
52600717,9570094,$192.70
52600715,1228060,$193.20
52600713,1754306,$164.20
52600714,1127721,$188.20
52600718,1056605,$189.45
52600719,6731298,$159.45
52600720,6533193,$25.45
52600722,4181640,$169.95
52600721,4786439,$5.95
52600725,336149,$184.45
52600724,2398576,$242.45
52600723,270764,$181.20
52600730,1818463,$33.20
52600729,4957232,$29.70
52600728,1925345,$8.45
52600727,4225845,$171.95
52600726,1127721,$223.95
52600731,3154095,$55.20
52600732,70204,$69.70
52600733,5164571,$5.70
52600734,3057287,$235.70
52600735,8211998,$78.45
52600737,136129,$107.45
52600736,2580387,$222.95
52600740,5344235,$247.70
52600739,5150589,$207.20
52600738,5122579,$208.45
52600742,6405355,$206.45
52600741,4949530,$136.20
52600743,2552979,$190.95
52600748,3081464,$224.20
52600745,7933799,$192.95
52600750,5728818,$86.95
52600747,6423375,$36.45
52600744,8135558,$84.70
52600749,8696788,$217.95
52600746,8632912,$43.95
52600751,800974,$128.70
52600752,8693033,$146.95
52600753,3847069,$123.95
52600754,2761804,$33.70
52600755,7491579,$6.20
52600756,4268904,$61.45
52600759,2281861,$132.95
52600758,4181640,$26.45
52600757,3750622,$164.45
52600760,8135558,$172.70
52600761,2368844,$197.20
52600762,8798767,$35.70
52600766,5381951,$175.70
52600764,8211998,$218.20
52600765,8723600,$236.70
52600763,2398576,$200.95
52600767,5193445,$66.45
52600768,8517685,$180.95
52600772,6858482,$231.70
52600770,4949530,$231.95
52600771,6423375,$244.45
52600769,88688,$75.95
52600773,1354353,$119.45
52600774,1733177,$93.20
52600778,2854095,$212.20
52600776,2580387,$43.45
52600777,5172397,$143.45
52600775,1127721,$96.45
52600779,1093337,$238.20
52600780,8798767,$248.20
52600781,1327369,$10.95
52600784,2592716,$69.70
52600783,1298954,$198.95
52600782,7589762,$234.70
52600788,1365088,$243.20
52600786,4789886,$16.70
52600787,2506266,$241.45
52600785,8770070,$52.45
52600789,2300486,$26.20
52600790,1370997,$38.20
52600791,1228060,$132.45
52600792,960419,$148.20
52600795,3953243,$136.20
52600797,1365088,$18.95
52600793,7933799,$248.45
52600796,8072477,$133.95
52600794,2300486,$7.20
52600798,4153272,$210.70
52600803,5820049,$124.95
52600800,9842861,$129.20
52600801,5485822,$98.45
52600802,9407935,$10.70
52600799,1925345,$138.70
52600804,9407935,$12.95
52600806,5164571,$104.70
52600805,3264176,$116.20
52600809,2336965,$150.45
52600808,6405355,$25.95
52600807,4225845,$210.95
52600810,2552979,$225.70
52600813,1282476,$29.95
52600812,5275342,$189.70
52600811,2921887,$163.45
52600814,1354353,$106.70
52600816,1925345,$195.20
52600815,8186992,$250.45
52600817,3154095,$88.20
52600818,270764,$194.70
52600819,6471257,$154.45
52600821,9076165,$168.45
52600820,6951646,$229.95
52600824,6008191,$125.70
52600823,70204,$205.45
52600822,2368844,$100.70
52600829,1925345,$87.45
52600827,88953,$41.95
52600826,7941459,$54.95
52600828,2993588,$44.95
52600825,270764,$57.70
52600830,7591741,$162.20
52600831,960419,$70.95
52600835,1298954,$20.20
52600833,2462394,$193.20
52600838,8719639,$109.20
52600832,6858482,$191.95
52600836,7591741,$201.20
52600837,9908666,$159.70
52600834,1250071,$192.70
52600839,9407935,$11.70
52600840,5820049,$46.45
52600841,8445311,$64.45
52600842,5605217,$110.20
52600843,1845640,$242.45
52600845,9842861,$44.70
52600844,9453314,$226.70
52600849,5164571,$132.70
52600847,6820251,$53.70
52600848,1056605,$9.70
52600846,5605217,$27.95
52600850,1586829,$64.70
52600851,2580387,$170.45
52600855,1108904,$252.20
52600857,8211998,$221.95
52600854,546291,$99.45
52600852,546291,$43.70
52600860,8632912,$86.45
52600853,7505162,$163.45
52600858,2552979,$130.45
52600859,9971126,$244.70
52600856,2883330,$234.20
52600865,6522214,$144.95
52600862,3600326,$86.70
52600863,2784658,$142.70
52600864,7491579,$140.70
52600861,6471257,$119.20
52600870,1250071,$231.95
52600867,1899944,$126.95
52600868,6731298,$6.70
52600869,2281861,$8.95
52600866,2222019,$215.95
52600871,3154095,$96.45
52600875,6080689,$164.45
52600873,7491800,$224.70
52600874,6198599,$173.95
52600872,5193445,$234.45
52600876,3912096,$78.70
52600877,8911670,$195.45
52600878,5391007,$250.20
52600879,5289639,$167.70
52600883,2580387,$240.20
52600881,5136349,$229.70
52600884,6820251,$28.45
52600880,9811930,$4.45
52600882,6471257,$251.95
52600886,5164571,$19.45
52600885,6731298,$238.70
52600887,5391007,$74.45
52600888,9190013,$160.95
52600889,1093337,$231.70
52600890,4594691,$96.70
52600895,1304182,$186.70
52600892,1818463,$210.20
52600893,2336965,$217.20
52600894,6731298,$44.20
52600891,3547751,$141.45
52600896,8543590,$152.45
52600897,4730029,$218.95
52600900,7487593,$107.95
52600901,2923342,$103.95
52600898,8517685,$152.20
52600899,2552979,$87.70
52600906,7146861,$232.70
52600907,6508376,$135.70
52600904,6080689,$11.70
52600908,1344363,$216.95
52600902,3053261,$79.95
52600903,9971126,$222.20
52600905,2761804,$156.70
52600909,8719639,$24.70
52600910,88953,$249.20
52600911,8003093,$210.20
52600912,9970765,$108.20
52600913,3511370,$167.95
52600914,9001210,$62.45
52600915,9266388,$62.20
52600916,5391007,$201.95
52600917,41146,$140.20
52600920,1298954,$191.45
52600919,190222,$252.45
52600918,1644921,$166.20
52600921,1733177,$127.95
52600922,2398576,$162.95
52600927,8632912,$28.70
52600924,5136349,$150.70
52600929,5122579,$30.70
52600926,1093337,$96.95
52600923,3750622,$69.70
52600928,3805220,$20.20
52600925,2580387,$166.95
52600932,2406220,$178.95
52600931,3600326,$244.70
52600930,5249575,$186.20
52600933,6533193,$18.95
52600938,1344363,$232.70
52600935,4225845,$77.95
52600936,4986449,$155.20
52600940,7591741,$126.70
52600934,732348,$39.20
52600939,1197215,$56.20
52600937,3154095,$157.20
52600944,1197215,$184.70
52600943,7498894,$202.45
52600942,8911670,$33.70
52600941,9978870,$91.95
52600945,5164571,$106.20
52600946,8452821,$231.70
52600947,7498894,$179.95
52600948,8696788,$175.20
52600949,5469332,$133.95
52600950,4998936,$206.95
52600951,1127721,$193.95
52600952,7498894,$156.70
52600957,3194112,$16.70
52600954,8693033,$91.95
52600955,6423375,$24.95
52600956,5140898,$88.70
52600953,7971394,$99.70
52600958,3158557,$147.20
52600959,8517685,$37.45
52600960,8696788,$164.70
52600962,9971126,$163.45
52600961,2883330,$94.20
52600963,6522214,$232.70
52600967,3912096,$185.45
52600965,3081464,$164.20
52600966,1394951,$23.20
52600964,4153272,$238.70
52600968,136129,$250.95
52600969,6951646,$180.95
52600970,800974,$217.45
52600971,8211998,$120.70
52600972,3511370,$117.95
